Index,Lieferant,LiefArtNr,LiefFarbe,EigeneFarbBez,Wgrp,Groesse,Mwst,Preis,Lagerbestand,Saison,
2011111128611,Sonia by Sonia Rykiel,13E88434018-66,081,Mehrfarbig,34,Da Blusen L-Arm,19,285.00,0,132,
2011111128628,Sonia by Sonia Rykiel,13E88434018-66,081,Mehrfarbig,36,Da Blusen L-Arm,19,285.00,0,132,
2011111128635,Sonia by Sonia Rykiel,13E88434018-66,081,Mehrfarbig,38,Da Blusen L-Arm,19,285.00,0,132,
2011111111705,Sonia by Sonia Rykiel,13E88437051-21,430,beige,38,Da Blusen L-Arm,19,190.00,0,131,
2011111111712,Sonia by Sonia Rykiel,13E88437051-21,430,beige,40,Da Blusen L-Arm,19,190.00,0,131,
2011111111729,Sonia by Sonia Rykiel,13E88437051-21,430,beige,42,Da Blusen L-Arm,19,190.00,0,131,
2011111111774,Sonia by Sonia Rykiel,13E88440012-11,153,gemustert,36,Da Blusen L-Arm,19,225.00,0,131,
2011111111781,Sonia by Sonia Rykiel,13E88440012-11,153,gemustert,38,Da Blusen L-Arm,19,225.00,0,131,
2011111111798,Sonia by Sonia Rykiel,13E88440012-11,153,gemustert,40,Da Blusen L-Arm,19,225.00,0,131,
2011111161861,Sonia by Sonia Rykiel,81431011-5,BLACK/OXFORD - 010,Mehrfarbig,36,Da Blusen L-Arm,19,339.00,1,141,
2011111161878,Sonia by Sonia Rykiel,81431011-5,BLACK/OXFORD - 010,Mehrfarbig,38,Da Blusen L-Arm,19,339.00,1,141,
2011111161885,Sonia by Sonia Rykiel,81431011-5,BLACK/OXFORD - 010,Mehrfarbig,40,Da Blusen L-Arm,19,339.00,0,141,
2011111136692,Sonia by Sonia Rykiel,89444005 - 51,110 CHRYSTAL,Nude,36,Da Blusen L-Arm,19,339.00,0,133,
2011111136708,Sonia by Sonia Rykiel,89444005 - 51,110 CHRYSTAL,Nude,38,Da Blusen L-Arm,19,339.00,0,133,
2011111136715,Sonia by Sonia Rykiel,89444005 - 51,110 CHRYSTAL,Nude,40,Da Blusen L-Arm,19,339.00,0,133,
2011111136722,Sonia by Sonia Rykiel,89444005 - 51,110 CHRYSTAL,Nude,42,Da Blusen L-Arm,19,339.00,1-,133,
2011111111477,Sonia by Sonia Rykiel,13E88126202-5,881,rot,38,Da Rock kurz,19,295.00,0,131,
2011111111484,Sonia by Sonia Rykiel,13E88126202-5,881,rot,40,Da Rock kurz,19,295.00,0,131,
2011111111491,Sonia by Sonia Rykiel,13E88126202-5,881,rot,42,Da Rock kurz,19,295.00,0,131,
2011111128512,Sonia by Sonia Rykiel,13E88251227-FD,666,rosa,L,Da Rock kurz,19,209.00,0,132,
2011111128505,Sonia by Sonia Rykiel,13E88251227-FD,666,rosa,M,Da Rock kurz,19,209.00,0,132,
2011111128499,Sonia by Sonia Rykiel,13E88251227-FD,666,rosa,S,Da Rock kurz,19,209.00,0,132,
2011111111316,Sonia by Sonia Rykiel,13E88251245-AA,002,schwarz,L,Da Rock kurz,19,185.00,0,131,
2011111111309,Sonia by Sonia Rykiel,13E88251245-AA,002,schwarz,M,Da Rock kurz,19,185.00,0,131,
2011111111293,Sonia by Sonia Rykiel,13E88251245-AA,002,schwarz,S,Da Rock kurz,19,185.00,0,131,
2011111111347,Sonia by Sonia Rykiel,13E88251248-AC,001,schwarz,L,Da Rock kurz,19,195.00,0,131,
2011111111330,Sonia by Sonia Rykiel,13E88251248-AC,001,schwarz,M,Da Rock kurz,19,195.00,0,131,
