Index,Lieferant,LiefArtNr,LiefFarbe,EigeneFarbBez,Wgrp,Groesse,Mwst,Preis,Lagerbestand,Saison,
2011111161748,Sonia by Sonia Rykiel,81430409-4C,MULTICOLORE/SKY -082,Mehrfarbig,38,Da Kleid kurz,19,419.00,0,141,
2011111161755,Sonia by Sonia Rykiel,81430409-4C,MULTICOLORE/SKY -082,Mehrfarbig,40,Da Kleid kurz,19,419.00,0,141,
2011111161762,Sonia by Sonia Rykiel,81430409-4C,MULTICOLORE/SKY -082,Mehrfarbig,42,Da Kleid kurz,19,419.00,0,141,
2011111161779,Sonia by Sonia Rykiel,81430409-4C,MULTICOLORE/SKY -082,Mehrfarbig,44,Da Kleid kurz,19,419.00,1,141,
2011111161786,Sonia by Sonia Rykiel,81430413-4C,BLACK-001,Mehrfarbig,36,Da Kleid kurz,19,429.00,0,141,
2011111161793,Sonia by Sonia Rykiel,81430413-4C,BLACK-001,Mehrfarbig,38,Da Kleid kurz,19,429.00,0,141,
2011111161809,Sonia by Sonia Rykiel,81430413-4C,BLACK-001,Mehrfarbig,40,Da Kleid kurz,19,429.00,0,141,
2011111161816,Sonia by Sonia Rykiel,81430413-4C,BLACK-001,Mehrfarbig,42,Da Kleid kurz,19,429.00,1,141,
2011111161892,Sonia by Sonia Rykiel,81431410-5,BLACK/OXFORD-010,Mehrfarbig,36,Da Kleid kurz,19,459.00,1,141,
2011111161908,Sonia by Sonia Rykiel,81431410-5,BLACK/OXFORD-010,Mehrfarbig,38,Da Kleid kurz,19,459.00,1,141,
2011111161915,Sonia by Sonia Rykiel,81431410-5,BLACK/OXFORD-010,Mehrfarbig,40,Da Kleid kurz,19,459.00,0,141,
